ds,ForecastVolume,RequiredAgents,ScheduledStaff,StaffingGap,SLA_Risk
01-01-2023,2270,268,266,2,High
02-01-2023,2542,300,298,2,High
03-01-2023,2607,307,305,2,High
04-01-2023,2515,296,294,2,High
05-01-2023,2548,300,298,2,High
06-01-2023,2565,302,300,2,High
07-01-2023,2339,276,274,2,High
08-01-2023,2273,268,266,2,High
09-01-2023,2545,300,298,2,High
10-01-2023,2609,307,305,2,High
11-01-2023,2518,297,295,2,High
12-01-2023,2551,301,299,2,High
13-01-2023,2568,303,301,2,High
14-01-2023,2342,276,274,2,High
15-01-2023,2276,268,266,2,High
16-01-2023,2548,300,298,2,High
17-01-2023,2612,308,306,2,High
18-01-2023,2521,297,295,2,High
19-01-2023,2553,301,299,2,High
20-01-2023,2570,303,301,2,High
21-01-2023,2345,276,274,2,High
22-01-2023,2278,268,266,2,High
23-01-2023,2550,300,298,2,High
24-01-2023,2615,308,306,2,High
25-01-2023,2523,297,295,2,High
26-01-2023,2556,301,299,2,High
27-01-2023,2573,303,301,2,High
28-01-2023,2347,277,275,2,High
29-01-2023,2281,269,267,2,High
30-01-2023,2553,301,299,2,High
31-01-2023,2617,308,306,2,High
01-02-2023,2526,298,296,2,High
02-02-2023,2558,301,299,2,High
03-02-2023,2576,304,302,2,High
04-02-2023,2350,277,275,2,High
05-02-2023,2284,269,267,2,High
06-02-2023,2556,301,299,2,High
07-02-2023,2620,309,307,2,High
08-02-2023,2528,298,296,2,High
09-02-2023,2561,302,300,2,High
10-02-2023,2578,304,302,2,High
11-02-2023,2352,277,275,2,High
12-02-2023,2286,269,267,2,High
13-02-2023,2558,301,299,2,High
14-02-2023,2622,309,307,2,High
15-02-2023,2531,298,296,2,High
16-02-2023,2564,302,300,2,High
17-02-2023,2581,304,302,2,High
18-02-2023,2355,278,276,2,High
19-02-2023,2289,270,268,2,High
20-02-2023,2561,302,300,2,High
21-02-2023,2625,309,307,2,High
22-02-2023,2534,299,297,2,High
23-02-2023,2566,302,300,2,High
24-02-2023,2583,304,302,2,High
25-02-2023,2358,278,276,2,High
26-02-2023,2291,270,268,2,High
27-02-2023,2563,302,300,2,High
28-02-2023,2628,310,308,2,High
01-03-2023,2536,299,297,2,High
02-03-2023,2569,303,301,2,High
03-03-2023,2586,305,303,2,High
04-03-2023,2360,278,276,2,High
05-03-2023,2294,270,268,2,High
06-03-2023,2566,302,300,2,High
07-03-2023,2630,310,308,2,High
08-03-2023,2539,299,297,2,High
09-03-2023,2571,303,301,2,High
10-03-2023,2589,305,303,2,High
11-03-2023,2363,278,276,2,High
12-03-2023,2297,271,269,2,High
13-03-2023,2569,303,301,2,High
14-03-2023,2633,310,308,2,High
15-03-2023,2541,299,297,2,High
16-03-2023,2574,303,301,2,High
17-03-2023,2591,305,303,2,High
18-03-2023,2365,279,277,2,High
19-03-2023,2299,271,269,2,High
20-03-2023,2571,303,301,2,High
21-03-2023,2635,310,308,2,High
22-03-2023,2544,300,298,2,High
23-03-2023,2577,304,302,2,High
24-03-2023,2594,306,304,2,High
25-03-2023,2368,279,277,2,High
26-03-2023,2302,271,269,2,High
27-03-2023,2574,303,301,2,High
28-03-2023,2638,311,309,2,High
29-03-2023,2547,300,298,2,High
30-03-2023,2579,304,302,2,High
31-03-2023,2596,306,304,2,High
01-04-2023,2371,279,277,2,High
02-04-2023,2304,272,270,2,High
03-04-2023,2576,304,302,2,High
04-04-2023,2641,311,309,2,High
05-04-2023,2549,300,298,2,High
06-04-2023,2582,304,302,2,High
07-04-2023,2599,306,304,2,High
08-04-2023,2373,280,278,2,High
09-04-2023,2307,272,270,2,High
10-04-2023,2579,304,302,2,High
11-04-2023,2643,311,309,2,High
12-04-2023,2552,301,299,2,High
13-04-2023,2584,305,303,2,High
14-04-2023,2602,307,305,2,High
15-04-2023,2376,280,278,2,High
16-04-2023,2310,272,270,2,High
17-04-2023,2582,304,302,2,High
18-04-2023,2646,312,310,2,High
19-04-2023,2554,301,299,2,High
20-04-2023,2587,305,303,2,High
21-04-2023,2604,307,305,2,High
22-04-2023,2378,280,278,2,High
23-04-2023,2312,272,270,2,High
24-04-2023,2584,305,303,2,High
25-04-2023,2648,312,310,2,High
26-04-2023,2557,301,299,2,High
27-04-2023,2590,305,303,2,High
28-04-2023,2607,307,305,2,High
29-04-2023,2381,281,279,2,High
30-04-2023,2315,273,271,2,High
01-05-2023,2587,305,303,2,High
02-05-2023,2651,312,310,2,High
03-05-2023,2560,302,300,2,High
04-05-2023,2592,305,303,2,High
05-05-2023,2609,307,305,2,High
06-05-2023,2384,281,279,2,High
07-05-2023,2317,273,271,2,High
08-05-2023,2589,305,303,2,High
09-05-2023,2654,313,311,2,High
10-05-2023,2562,302,300,2,High
11-05-2023,2595,306,304,2,High
12-05-2023,2612,308,306,2,High
13-05-2023,2386,281,279,2,High
14-05-2023,2320,273,271,2,High
15-05-2023,2592,305,303,2,High
16-05-2023,2656,313,311,2,High
17-05-2023,2565,302,300,2,High
18-05-2023,2597,306,304,2,High
19-05-2023,2615,308,306,2,High
20-05-2023,2389,282,280,2,High
21-05-2023,2323,274,272,2,High
22-05-2023,2595,306,304,2,High
23-05-2023,2659,313,311,2,High
24-05-2023,2567,302,300,2,High
25-05-2023,2600,306,304,2,High
26-05-2023,2617,308,306,2,High
27-05-2023,2391,282,280,2,High
28-05-2023,2325,274,272,2,High
29-05-2023,2597,306,304,2,High
30-05-2023,2661,314,312,2,High
31-05-2023,2570,303,301,2,High
01-06-2023,2603,307,305,2,High
02-06-2023,2620,309,307,2,High
03-06-2023,2394,282,280,2,High
04-06-2023,2328,274,272,2,High
05-06-2023,2600,306,304,2,High
06-06-2023,2664,314,312,2,High
07-06-2023,2573,303,301,2,High
08-06-2023,2605,307,305,2,High
09-06-2023,2622,309,307,2,High
10-06-2023,2397,282,280,2,High
11-06-2023,2330,275,273,2,High
12-06-2023,2602,307,305,2,High
13-06-2023,2667,314,312,2,High
14-06-2023,2575,303,301,2,High
15-06-2023,2608,307,305,2,High
16-06-2023,2625,309,307,2,High
17-06-2023,2399,283,281,2,High
18-06-2023,2333,275,273,2,High
19-06-2023,2605,307,305,2,High
20-06-2023,2669,315,313,2,High
21-06-2023,2578,304,302,2,High
22-06-2023,2610,308,306,2,High
23-06-2023,2628,310,308,2,High
24-06-2023,2402,283,281,2,High
25-06-2023,2336,275,273,2,High
26-06-2023,2608,307,305,2,High
27-06-2023,2672,315,313,2,High
28-06-2023,2580,304,302,2,High
29-06-2023,2613,308,306,2,High
30-06-2023,2630,310,308,2,High
01-07-2023,2404,283,281,2,High
02-07-2023,2338,276,274,2,High
03-07-2023,2610,308,306,2,High
04-07-2023,2674,315,313,2,High
05-07-2023,2583,304,302,2,High
06-07-2023,2616,308,306,2,High
07-07-2023,2633,310,308,2,High
08-07-2023,2407,284,282,2,High
09-07-2023,2341,276,274,2,High
10-07-2023,2613,308,306,2,High
11-07-2023,2677,315,313,2,High
12-07-2023,2586,305,303,2,High
13-07-2023,2618,308,306,2,High
14-07-2023,2635,310,308,2,High
15-07-2023,2410,284,282,2,High
16-07-2023,2343,276,274,2,High
17-07-2023,2615,308,306,2,High
18-07-2023,2680,316,314,2,High
19-07-2023,2588,305,303,2,High
20-07-2023,2621,309,307,2,High
21-07-2023,2638,311,309,2,High
22-07-2023,2412,284,282,2,High
23-07-2023,2346,277,275,2,High
24-07-2023,2618,308,306,2,High
25-07-2023,2682,316,314,2,High
26-07-2023,2591,305,303,2,High
27-07-2023,2623,309,307,2,High
28-07-2023,2641,311,309,2,High
29-07-2023,2415,285,283,2,High
